771;26959;Geology
1079;26239;Quaternary Science Reviews
1360;19723;Harmful Algae
1594;28409;Progress in Oceanography
1854;25349;Science of the Total Environment
1880;28355;Oceanography
2318;26319;Sedimentary Geology
2694;24548;Marine and Petroleum Geology
2737;13985;Palaeogeography, Palaeoclimatology, Palaeoecology
2782;27847;Marine Geology
2976;24024;Marine Pollution Bulletin
3041;12169;Marine Ecology - Progress Series
3449;24431;Journal of Quaternary Science
3671;22845;Radiocarbon
4239;25776;Quaternary International
4728;29635;Journal of Plankton Research
4997;13076;Protist
5209;13958;Marine Micropaleontology
5545;20223;Journal of Eukaryotic Microbiology
6027;16516;Phycologia
6598;27787;Journal of Oceanography
6681;14600;Review of Palaeobotany and Palynology
7356;79889;Journal of Sea Research
8612;28430;Scientia Marina
8740;29663;Journal of Theoretical Biology
9053;31815;Journal of African Earth Sciences
10385;14596;Palynology
14212;4000151910;Ocean Science Journal
